channelName,classification,ownership
APTN HD+,Specialty,Aboriginal Peoples Television Network
APTN+,Specialty,Aboriginal Peoples Television Network
ATPN-N,Specialty,Aboriginal Peoples Television Network
AMI-tv+,Specialty,Accessible Media Inc
Super Channel 1+,Pay Specialty,Allarco Entertainment
Super Channel 2+,Pay Specialty,Allarco Entertainment
Super Channel 3+,Pay Specialty,Allarco Entertainment
Super Channel 4+,Pay Specialty,Allarco Entertainment
Super Channel HD 2+,Pay Specialty,Allarco Entertainment
AMC+,US Specialty,AMC Networks
Independent Film channel US,US Specialty,AMC Networks
Sundance,US Specialty,AMC Networks
TV Asia,US Specialty,Asian Star Broadcasting
ATN Cricket Plus Channel,Pay Specialty,Asian Television Network
Baby First TV (English),US Specialty,Baby First TV
Baby First TV (French),US Specialty,Baby First TV
Baby First TV (Spanish),US Specialty,Baby First TV
Animal Planet+,Specialty,Bell Media
BNN Business News Network+,Specialty,Bell Media
Bravo+,Specialty,Bell Media
Comedy+,Specialty,Bell Media
CP24 Ontario+,Conventional,Bell Media
CTV Calgary (CFCN)+,Conventional,Bell Media
CTV Edmonton (CFRN)+,Conventional,Bell Media
CTV News Channel+,Specialty,Bell Media
CTV Ontario,Conventional,Bell Media
CTV Total,Conventional,Bell Media
CTV Two (Alberta)+,Conventional,Bell Media
CTV Two Ontario,Conventional,Bell Media
CTV Two Total,Conventional,Bell Media
CTV Two Vancouver (CIVI)+,Conventional,Bell Media
CTV Vancouver (CIVT)+,Conventional,Bell Media
Discovery Science+,Specialty,Bell Media
Discovery World+,Specialty,Bell Media
Discovery+,Specialty,Bell Media
Disney Junior Eng+,Pay Specialty,Bell Media
Disney XD+,Specialty,Bell Media
E!+,Specialty,Bell Media
ESPN Classic Canada,Sports,Bell Media
ESPN Classic Canada+,Sports,Bell Media
Family+,Pay Specialty,Bell Media
HBO Canada+,Pay Specialty,Bell Media
Investigation Discovery+,Specialty,Bell Media
M (TMN1)+,Pay Specialty,Bell Media
